"labY","C","A","V","t"
1.090472037880416,1.1243350057355292,0.0,-59.01563869406547,1.0
1.0687101772400864,1.0271971104687614,-0.03420159753366438,-58.65963894503433,2.0
1.1699045819638845,1.0186069044122519,0.007384583930037214,-57.87823374895078,3.0
0.9419035411830843,0.9265127787439462,0.1602690840964865,-57.50304189053522,4.0
1.3614731225242211,1.1910507929131353,0.17741644500098075,-56.5411823135256,5.0
1.1404306259817387,1.2042099973049019,0.35131716235818716,-56.15737244384997,6.0
1.0889367290508911,1.0258275739116547,0.29041316894537433,-55.57310258970632,7.0
1.1575555402672655,1.077806958741529,0.3570575473254567,-54.93096516539259,8.0
1.4147735364608018,1.155276529763776,0.44117419013970516,-54.20429685965486,9.0
0.9292782416828842,1.143772224535496,0.7076779088050984,-53.98600962501077,10.0
0.9923343297598206,1.1916253028247803,0.4981157652120114,-53.54410146598813,11.0
0.8559947586715652,1.1000749504697709,0.3018130400685222,-53.278087320036875,12.0
0.7822686710689766,0.9989538451846475,0.05831017675301947,-52.777741269119936,13.0
0.6476509176058001,0.9089345471822796,-0.15995874733627802,-52.61117180290506,14.0
0.7931715481047583,0.9583620758212268,-0.4254548006818852,-51.9960055764265,15.0
0.694339680808655,0.9159218771026059,-0.5965517816823374,-51.56608673912237,16.0
0.7494348046030804,0.8699333974664057,-0.8263153177560512,-50.90371845576597,17.0
0.8854055912765684,0.943277978143627,-0.9562820497255702,-50.37419576381872,18.0
1.0779515681870244,0.8314386310100379,-1.024295980958555,-49.45478120084537,19.0
1.1830082136351843,1.032082741116644,-0.7855608742193841,-48.25794633240281,20.0
0.8760200359417363,0.9974643058829616,-0.6409817557178524,-48.41623002182932,21.0
1.2994729716179938,0.9670995745646291,-0.7700502859156687,-46.47417183333076,22.0
1.094239824514431,0.8279552324349576,-0.4420536577509271,-45.75780028734681,23.0
1.5914389784403875,1.1601131341729578,-0.1775267563281684,-44.75020391455373,24.0
1.6351047407979213,1.1270195810238723,0.2563370788186541,-43.28834934604937,25.0
1.345420024346343,0.8602352832425123,0.7720664609786296,-42.07099189395976,26.0
1.1990083180926336,0.9341090235158733,1.269823714103285,-40.771396274345456,27.0
1.1019934999614462,0.8967728662596041,1.5500702387668457,-39.86883969082627,28.0
1.0890965338131715,0.9006932905971441,1.7728437811933748,-38.98868373747474,29.0
0.6809281388875237,0.680365794698611,1.980859494653496,-39.0654631413169,30.0
0.7892715876348793,0.7031818861085103,2.001236057230833,-37.843386143162206,31.0
0.9684011753279409,0.7227478722806564,2.108199016344774,-36.1119233290092,32.0
1.4244764110851387,0.8773023820283377,2.3773908425859793,-34.022337595367546,33.0
1.1470523784709956,0.8752237116675682,2.953810520359208,-33.60463729183945,34.0
1.3350025190380563,0.8670701735375312,3.2578955790342623,-32.0616610212217,35.0
1.1565101215871416,0.7292355484572148,3.7630862037801354,-31.333423804118205,36.0
1.4048835690586352,0.8365411460672891,4.232264384679162,-29.5787393964909,37.0
0.9701803593918865,0.5717512351676537,4.848612875747214,-28.476375427487252,38.0
0.9486716394873052,0.5261725599758293,5.299512419971162,-27.227993068613653,39.0
1.056493712121576,0.6162813978440997,5.779231614477464,-25.96092679551296,40.0
0.0,0.5341461315836518,6.281638368042489,-24.664445486900036,41.0
0.0,0.5558335794082254,5.804967158823426,-22.26824135384502,42.0
0.0,0.6228727537048959,5.301624915209352,-19.808198354145517,43.0
0.0,0.6662848115731388,4.725539683119501,-17.354862220784515,44.0
0.0,0.6390561355735058,4.099847420261826,-14.995853571173628,45.0
0.0,0.7143807328408704,3.4953991975352037,-12.502899285276214,46.0
0.0,0.69015831780444,2.8088286493412764,-10.127682519000162,47.0
0.0,0.6999825425694428,2.139857034852205,-7.640252120481618,48.0
0.0,0.7157082605646523,1.4542732372055895,-5.1125658009023995,49.0
0.0,0.7459407254172477,0.7459506264073466,-2.5489838059269454,50.0
